Name,Date of Birth,Nationality,Role,Sex,Discipline 1,Discipline 2,Date of Infraction,Sanction,Ineligibility until,Period of Disqualification of results,Lifetime Ban?,Infraction Type,ADRV Rules,ADRV Notes,Description
Nunu Abashidze,,Soviet Union,,,Shot put,,1981,?,,,,,?,,
Ahmed Abd El Raouf,,Egypt,,M,Hammer throw,,2008,2 years,,,,,Norandrosterone,,
Inga Abitova,,Russia,,,Long distance,,2009,2 years,,,,,Biological passportanomalies,,
Folashade Abugan,,Nigeria,,,Sprinting,,2010,2 years,,,,,Testosteroneprohormone,,
Ibrahim Mohamed Aden,,Somalia,,M,Middle distance,,1999,Public warning,,,,,Ephedrine,,
Tosin Adeloye,,Nigeria,,,Sprinting,,2012,2 years,,,,,Metenolone,,
Tosin Adeloye,,Nigeria,,,Sprinting,,2015,8 years,,,,,Exogenous steroids,,
Funke Adeoye,,Nigeria,,,Hammer throw,,2007,Public warning,,,,,Ephedrine,,
Alessandra Aguilar,,Spain,,,Long distance,,08/12/2011,3 months,,,,,?,,
Amina Ait Hammou,,Morocco,,,Middle distance,,2008,1 year,,,,,3 whereabouts failures,,
Seltana Ait Hammou,,Morocco,,,Middle distance,,2008,1 year,,,,,3 whereabouts failures,,
Chioma Ajunwa,,Nigeria,,,"Long jump, sprinting",,1992,4 years,,,,,?,,
Esther Akinsulie,,Canada,,,Sprinting,,2013,6 months,,,,,Hydrochlorothiazide,,
Ashwini Akkunji,,India,,,Sprinting,,2011,2 years,,,,,Anabolic steroids,,
Mary Akor Basley,,United States,,F,Marathon,,2012,2 years,,,,,Clenbuterol,,
Mikko Ala-Leppilampi,,Finland,,,Long distance,,1972,?,,,,,Self admittance of blood transfusions (not illegal at the time),,
Mariem Alaoui Selsouli,,Morocco,,,Middle distance,,2009,2 years,,,,,EPO,,
Mariem Alaoui Selsouli,,Morocco,,,Middle distance,,2012,8 years,,,,,Furosemide,,
Sultan Al-Dawoodi,,Saudi Arabia,,,Discus throw,,2009,2 years,,,,,Norandrosterone,,
Denis Alekseyev,,Russia,,M,Sprinting,,2013,2 years,,,,,Dehydrochloromethyltestosterone,,
